identifier,file,description,date,title,publisher,language,mediatype,eprintid,subject[0],subject[1],subject[2],subject[3],subject[4],subject[5],subject[6],creator[0],creator[1],division[0],division[1],copyright_holder[0],collection
mmu-eprint-11206,"D:\Exam paper\Exam paper 5\id\eprint\11206\1\BOB 2614.pdf","Trimester 3 2022/2023","2023-11-03","BOB 2614 - Organisational Behaviour",,eng,texts,11206,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11217,"D:\Exam paper\Exam paper 5\id\eprint\11217\1\DCT 5114.pdf","Trimester 3 2022/2023","2023-10-07","DCT 5114 - Critical Thinking",,eng,texts,11217,BF,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11180,"D:\Exam paper\Exam paper 5\id\eprint\11180\1\BAC 2694 - Management Consultancy.pdf","Trimester 3 2022/2023","2023-10-07","BAC 2694 - Management Consultancy",,eng,texts,11180,HD,HD61,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11181,"D:\Exam paper\Exam paper 5\id\eprint\11181\1\BAC 4684 - ERP Systems.pdf","Trimester 3 2022/2023","2023-10-07","BAC 4684 - ERP Systems",,eng,texts,11181,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11183,"D:\Exam paper\Exam paper 5\id\eprint\11183\1\BFN 3114 - Tax Planning.pdf","Trimester 3 2022/2023","2023-10-07","BFN 3114 - Tax Planning",,eng,texts,11183,HJ,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11254,"D:\Exam paper\Exam paper 5\id\eprint\11254\1\BMG 1014 - Management.pdf","Trimester 3 2022/2023","2023-10-07","BMG 1014 - Management",,eng,texts,11254,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11168,"D:\Exam paper\Exam paper 5\id\eprint\11168\1\BMK 2614 - Principles of Marketing.pdf","Trimester 3 2022/2023","2023-10-07","BMK 2614 - Principles of Marketing",,eng,texts,11168,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11231,"D:\Exam paper\Exam paper 5\id\eprint\11231\1\PPP 0101 - Principles of Physics.pdf","Trimester 3 2022/2023","2023-10-07","PPP 0101 - Principles of Physics",,eng,texts,11231,QC,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11220,"D:\Exam paper\Exam paper 5\id\eprint\11220\1\DDM 5117.pdf","Trimester 3 2022/2023","2023-10-06","DDM 5117 - Digital Media And Culture",,eng,texts,11220,T1,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11196,"D:\Exam paper\Exam paper 5\id\eprint\11196\1\DMA 5201 - Mathematical Techniques-2.pdf","Trimester 3 2022/2023","2023-10-06","DMA 5201 - Mathematical Techniques-2",,eng,texts,11196,QA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11171,"D:\Exam paper\Exam paper 5\id\eprint\11171\1\ECE 4116 - Digital Computer Design.pdf","Trimester 3 2022/2023","2023-10-06","ECE 4116 - Digital Computer Design",,eng,texts,11171,QA,QA76,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11187,"D:\Exam paper\Exam paper 5\id\eprint\11187\1\EEE 1036 - Digital Logic Design.pdf","Trimester 3 2022/2023","2023-10-06","EEE 1036 - Digital Logic Design",,eng,texts,11187,TK,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11268,"D:\Exam paper\Exam paper 5\id\eprint\11268\1\EEE 7216 - Engineering Optimization.pdf","Trimester 3 2022/2023","2023-10-06","EEE 7216 - Engineering Optimization",,eng,texts,11268,TA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11193,"D:\Exam paper\Exam paper 5\id\eprint\11193\1\EEL 3156 - Renewable Energy Technology.pdf","Trimester 3 2022/2023","2023-10-06","EEL 3156 - Renewable Energy Technology",,eng,texts,11193,TJ,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11259,"D:\Exam paper\Exam paper 5\id\eprint\11259\1\BAE 2014 - Seminar in Analytical Economics.pdf","Trimester 3 2022/2023","2023-10-06","BAE 2014 - Seminar in Analytical Economics",,eng,texts,11259,HD,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11167,"D:\Exam paper\Exam paper 5\id\eprint\11167\1\BBL 2014 - Business Law.pdf","Trimester 3 2022/2023","2023-10-06","BBL 2014 - Business Law",,eng,texts,11167,K1,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11253,"D:\Exam paper\Exam paper 5\id\eprint\11253\1\BEC 1034 - Microeconomics.pdf","Trimester 3 2022/2023","2023-10-06","BEC 1034 - Microeconomics",,eng,texts,11253,HB,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11257,"D:\Exam paper\Exam paper 5\id\eprint\11257\1\BEM 1034 - Mathematics for Economics.pdf","Trimester 3 2022/2023","2023-10-06","BEM 1034 - Mathematics for Economics",,eng,texts,11257,QA,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11184,"D:\Exam paper\Exam paper 5\id\eprint\11184\1\BFN 1114 - Introduction to Fintech.pdf","Trimester 3 2022/2023","2023-10-06","BFN 1114 - Introduction to Fintech",,eng,texts,11184,HF,HG,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11185,"D:\Exam paper\Exam paper 5\id\eprint\11185\1\BFN 2084 - Personal Finance.pdf","Trimester 3 2022/2023","2023-10-06","BFN 2084 - Personal Finance",,eng,texts,11185,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11258,"D:\Exam paper\Exam paper 5\id\eprint\11258\1\BIS 2014 - Management Information Systems.pdf","Trimester 3 2022/2023","2023-10-06","BIS 2014 - Management Information Systems",,eng,texts,11258,T1,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11166,"D:\Exam paper\Exam paper 5\id\eprint\11166\1\BMK 2144 - Integrated Marketing Communication.pdf","Trimester 3 2022/2023","2023-10-06","BMK 2144 - Integrated Marketing Communication",,eng,texts,11166,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11165,"D:\Exam paper\Exam paper 5\id\eprint\11165\1\BMK 2154 - Technology and Innovation Marketing.pdf","Trimester 3 2022/2023","2023-10-06","BMK 2154 - Technology and Innovation Marketing",,eng,texts,11165,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11164,"D:\Exam paper\Exam paper 5\id\eprint\11164\1\BMK 3024 - Internet Marketing.pdf","Trimester 3 2022/2023","2023-10-06","BMK 3024 - Internet Marketing",,eng,texts,11164,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11256,"D:\Exam paper\Exam paper 5\id\eprint\11256\1\BPO 2064 - Production and Operation Management.pdf","Trimester 3 2022/2023","2023-10-06","BPO 2064 - Production and Operations Management",,eng,texts,11256,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11255,"D:\Exam paper\Exam paper 5\id\eprint\11255\1\BRM 2034 - Research Methodology.pdf","Trimester 3 2022/2023","2023-10-06","BRM 2034 - Research Methodology",,eng,texts,11255,Q1,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11230,"D:\Exam paper\Exam paper 5\id\eprint\11230\1\PBC 0016 - Basic Computing and Programming.pdf","Trimester 3 2022/2023","2023-10-06","PBC 0016 - Basic Computing and Programming",,eng,texts,11230,QA,QA76,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11232,"D:\Exam paper\Exam paper 5\id\eprint\11232\1\PCL 0016 - Calculus.pdf","Trimester 3 2022/2023","2023-10-06","PCL 0016 - Calculus",,eng,texts,11232,QA,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11236,"D:\Exam paper\Exam paper 5\id\eprint\11236\1\PES 0024 - Essential Statistics.pdf","Trimester 3 2022/2023","2023-10-06","PES 0024 - Essential Statistics",,eng,texts,11236,HA,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11219,"D:\Exam paper\Exam paper 5\id\eprint\11219\1\DCA 5114.pdf","Trimester 3 2022/2023","2023-10-05","DCA 5114 - Computer Technology And Applications",,eng,texts,11219,T1,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11224,"D:\Exam paper\Exam paper 5\id\eprint\11224\1\ERA 2036 - Introduction to Artificial Intelligence.pdf","Trimester 3 2022/2023","2023-10-05","ERA 2036 - Introduction to Artificial Intelligence",,eng,texts,11224,Q1,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11226,"D:\Exam paper\Exam paper 5\id\eprint\11226\1\ETN 4106 - Optoelectronics and Optical Communications.pdf","Trimester 3 2022/2023","2023-10-05","ETN 4106 - Optoelectronics and Optical Communications",,eng,texts,11226,TK,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11252,"D:\Exam paper\Exam paper 5\id\eprint\11252\1\TMA 1201 - Discrete Structures and Probability.pdf","Trimester 3 2022/2023","2023-10-05","TMA 1201 - Discrete Structures and Probability",,eng,texts,11252,TA,,,,,,,"Faculty of Information Technology, FCI",,FCI,,,opensource
mmu-eprint-11179,"D:\Exam paper\Exam paper 5\id\eprint\11179\1\BAC 4654 - E-Auditing.pdf","Trimester 3 2022/2023","2023-10-05","BAC 4654 - E-Auditing",,eng,texts,11179,HF,HF5601,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11234,"D:\Exam paper\Exam paper 5\id\eprint\11234\1\BBA 3034 - Business Analytics.pdf","Trimester 3 2022/2023","2023-10-05","BBA 3034 - Business Analytics",,eng,texts,11234,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11169,"D:\Exam paper\Exam paper 5\id\eprint\11169\1\BBL 2614 - Business Law.pdf","Trimester 3 2022/2023","2023-10-05","BBL 2614 - Business Law",,eng,texts,11169,K1,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11182,"D:\Exam paper\Exam paper 5\id\eprint\11182\1\BFN 2254 -Financial Statistical Analysis.pdf","Trimester 3 2022/2023","2023-10-05","BFN 2254 - Financial Statistical Analysis",,eng,texts,11182,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11201,"D:\Exam paper\Exam paper 5\id\eprint\11201\1\BMS 2024 - Advanced Managerial Statistics.pdf","Trimester 3 2022/2023","2023-10-05","BMS 2024 - Advanced Managerial Statistics",,eng,texts,11201,HA,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11207,"D:\Exam paper\Exam paper 5\id\eprint\11207\1\BOB 2024.pdf","Trimester 3 2022/2023","2023-10-05","BOB 2024 - Organisational Behaviour",,eng,texts,11207,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11228,"D:\Exam paper\Exam paper 5\id\eprint\11228\1\LAG 0015 - Advanced Grammar.pdf","Trimester 3 2022/2023","2023-10-05","LAG 0015 - Advanced Grammar",,eng,texts,11228,PE,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11235,"D:\Exam paper\Exam paper 5\id\eprint\11235\1\PDS 0101 - Introduction to Digital Systems.pdf","Trimester 3 2022/2023","2023-10-05","PDS 0101 - Introduction to Digital Systems",,eng,texts,11235,QA,QA76,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11218,"D:\Exam paper\Exam paper 5\id\eprint\11218\1\DEN 5018.pdf","Trimester 3 2022/2023","2023-10-04","DEN 5018 - English",,eng,texts,11218,PE,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11197,"D:\Exam paper\Exam paper 5\id\eprint\11197\1\DMA 5214 - Principles of Managerial Accounting.pdf","Trimester 3 2022/2023","2023-10-04","DMA 5214 - Principles of Managerial Accounting",,eng,texts,11197,HF,HF5601,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11221,"D:\Exam paper\Exam paper 5\id\eprint\11221\1\DMK 5214.pdf","Trimester 3 2022/2023","2023-10-04","DMK 5214 - Product Planning And Management",,eng,texts,11221,T1,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11186,"D:\Exam paper\Exam paper 5\id\eprint\11186\1\EEE 1046 - Electronics III.pdf","Trimester 3 2022/2023","2023-10-04","EEE 1046 - Electronics III",,eng,texts,11186,TK,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11267,"D:\Exam paper\Exam paper 5\id\eprint\11267\1\EEE 7286 - Energy Management in Industry.pdf","Trimester 3 2022/2023","2023-10-04","EEE 7286 - Energy Management in Industry",,eng,texts,11267,TJ,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11194,"D:\Exam paper\Exam paper 5\id\eprint\11194\1\EEL 3136 - Electrical Drives.pdf","Trimester 3 2022/2023","2023-10-04","EEL 3136 - Electrical Drives",,eng,texts,11194,TJ,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11177,"D:\Exam paper\Exam paper 5\id\eprint\11177\1\BAC 1624 - Management Accounting 1.pdf","Trimester 3 2022/2023","2023-10-04","BAC 1624 - Management Accounting 1",,eng,texts,11177,HF,HF5601,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11208,"D:\Exam paper\Exam paper 5\id\eprint\11208\1\BEA 2074.pdf","Trimester 3 2022/2023","2023-10-04","BEA 2074 - Enterprise Architecture",,eng,texts,11208,HD,HD28,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11205,"D:\Exam paper\Exam paper 5\id\eprint\11205\1\BEN 2074.pdf","Trimester 3 2022/2023","2023-10-04","BEN 2074 - Entrepreneurship",,eng,texts,11205,HB,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11204,"D:\Exam paper\Exam paper 5\id\eprint\11204\1\BER 2094.pdf","Trimester 3 2022/2023","2023-10-04","BER 2094 - Environmental & Resource Economics",,eng,texts,11204,HC,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11251,"D:\Exam paper\Exam paper 5\id\eprint\11251\1\BFN 2054 - Portfolio Managment.pdf","Trimester 3 2022/2023","2023-10-04","BFN 2054 - Portfolio Management",,eng,texts,11251,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11250,"D:\Exam paper\Exam paper 5\id\eprint\11250\1\BFN 2224 - Financial Markets and Institutions.pdf","Trimester 3 2022/2023","2023-10-04","BFN 2224 - Financial Markets and Institutions",,eng,texts,11250,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11163,"D:\Exam paper\Exam paper 5\id\eprint\11163\1\BMK 1024 - Fundamentals of Marketing.pdf","Trimester 3 2022/2023","2023-10-04","BMK 1024 - Fundamentals of Marketing",,eng,texts,11163,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11262,"D:\Exam paper\Exam paper 5\id\eprint\11262\1\BMK 2034 - Strategic Marketing.pdf","Trimester 3 2022/2023","2023-10-04","BMK 2034 - Strategic Marketing",,eng,texts,11262,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11263,"D:\Exam paper\Exam paper 5\id\eprint\11263\1\BMK 3154 - Seminar in Web Marketing.pdf","Trimester 3 2022/2023","2023-10-04","BMK 3154 - Seminar in Web Marketing",,eng,texts,11263,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11200,"D:\Exam paper\Exam paper 5\id\eprint\11200\1\BMS 1024 - Managerial Statistics.pdf","Trimester 3 2022/2023","2023-10-04","BMS 1024 - Managerial Statistics",,eng,texts,11200,HA,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11245,"D:\Exam paper\Exam paper 5\id\eprint\11245\1\PEM 0034 - Essentials of Macroeconomics.pdf","Trimester 3 2022/2023","2023-10-04","PEM 0034 - Essentials of Macroeconomics",,eng,texts,11245,HB,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11246,"D:\Exam paper\Exam paper 5\id\eprint\11246\1\PEM 0044 - Essential Mathematics.pdf","Trimester 3 2022/2023","2023-10-04","PEM 0044 - Essentials Mathematics",,eng,texts,11246,QA,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11237,"D:\Exam paper\Exam paper 5\id\eprint\11237\1\PFA 0064 - Essential of Financial Accounting.pdf","Trimester 3 2022/2023","2023-10-04","PFA 0064 - Essentials of Financial Accounting",,eng,texts,11237,HF,HF5601,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11242,"D:\Exam paper\Exam paper 5\id\eprint\11242\1\PMT 0201 - Mathematics II.pdf","Trimester 3 2022/2023","2023-10-04","PMT 0201 - Mathematics II",,eng,texts,11242,QA,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11233,"D:\Exam paper\Exam paper 5\id\eprint\11233\1\PPS 0016 - Introduction to Probability and Statistics.pdf","Trimester 3 2022/2023","2023-10-04","PPS 0016 - Introduction to Probability and Statistics",,eng,texts,11233,HA,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11198,"D:\Exam paper\Exam paper 5\id\eprint\11198\1\DMA 5401 - Introduction to PRobability and Statistics.pdf","Trimester 3 2022/2023","2023-10-03","DMA 5401 - Introduction to Probability and Statistics",,eng,texts,11198,HA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11266,"D:\Exam paper\Exam paper 5\id\eprint\11266\1\EEE 7316 - Energy Policy, Regulations and Standards.pdf","Trimester 3 2022/2023","2023-10-03","EEE 7316 - Energy Policy, Regulations and Standards",,eng,texts,11266,HD,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11190,"D:\Exam paper\Exam paper 5\id\eprint\11190\1\EMT 2066 - Industrial Mathematics.pdf","Trimester 3 2022/2023","2023-10-03","EMT 2066 - Industrial Mathematics",,eng,texts,11190,QA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11265,"D:\Exam paper\Exam paper 5\id\eprint\11265\1\ETM 7166 - Digital Signal Processing Systems and Design in Telecommunications.pdf","Trimester 3 2022/2023","2023-10-03","ETM 7166 - Digital Signal Processing Systems and Design in Telecommunications",,eng,texts,11265,TK,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11175,"D:\Exam paper\Exam paper 5\id\eprint\11175\1\BAC 1064 - Accounting for Decision Making.pdf","Trimester 3 2022/2023","2023-10-03","BAC 1064 - Accounting for Decision Making",,eng,texts,11175,HF,HF5601,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11176,"D:\Exam paper\Exam paper 5\id\eprint\11176\1\BAC 2654 - Public Sector Accounting.pdf","Trimester 3 2022/2023","2023-10-03","BAC 2654 - Public Sector Accounting",,eng,texts,11176,HF,HF5601,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11209,"D:\Exam paper\Exam paper 5\id\eprint\11209\1\BEL 1014.pdf","Trimester 3 2022/2023","2023-10-03","BEL 1014 - Electronic Commerce",,eng,texts,11209,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11214,"D:\Exam paper\Exam paper 5\id\eprint\11214\1\BIM 3024.pdf","Trimester 3 2022/2023","2023-10-03","BIM 3024 - ERP Implementation",,eng,texts,11214,H1,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11211,"D:\Exam paper\Exam paper 5\id\eprint\11211\1\BKE 2014.pdf","Trimester 3 2022/2023","2023-10-03","BKE 2014 - Digital Economy",,eng,texts,11211,HC,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11264,"D:\Exam paper\Exam paper 5\id\eprint\11264\1\BMK 2084 - Marketing Channel Management.pdf","Trimester 3 2022/2023","2023-10-03","BMK 2084 - Marketing Channel Management",,eng,texts,11264,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11229,"D:\Exam paper\Exam paper 5\id\eprint\11229\1\LCT 1017 - Communication Theories.pdf","Trimester 3 2022/2023","2023-10-03","LCT 1017 - Communication Theories",,eng,texts,11229,P1,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11240,"D:\Exam paper\Exam paper 5\id\eprint\11240\1\PCI 0015 - English for Creative Purpose.pdf","Trimester 3 2022/2023","2023-10-03","PCI 0015 - English for Creative Purposes",,eng,texts,11240,PE,,,,,,,"Foundation Studies and Extension Education, FOSEE",,FOSEE,,,opensource
mmu-eprint-11222,"D:\Exam paper\Exam paper 5\id\eprint\11222\1\DFC 5117 - Fundamentals of Communication Theories.pdf","Trimester 3 2022/2023","2023-10-02","DFC 5117 - Fundamentals of Communication Theories",,eng,texts,11222,P1,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11199,"D:\Exam paper\Exam paper 5\id\eprint\11199\1\DMA 5101 - Mathematical Techniques 1.pdf","Trimester 3 2022/2023","2023-10-02","DMA 5101 - Mathematical Techniques 1",,eng,texts,11199,QA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11189,"D:\Exam paper\Exam paper 5\id\eprint\11189\1\DPS 5114 - Introduction to Psychology.pdf","Trimester 3 2022/2023","2023-10-02","DPS 5114 - Introduction to Psychology",,eng,texts,11189,BF,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11188,"D:\Exam paper\Exam paper 5\id\eprint\11188\1\DPS 5124 - Psychology.pdf","Trimester 3 2022/2023","2023-10-02","DPS 5124 - Psychology",,eng,texts,11188,BF,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11170,"D:\Exam paper\Exam paper 5\id\eprint\11170\1\ECE 2056 - Data Communications and Networking.pdf","Trimester 3 2022/2023","2023-10-02","ECE 2056 - Data Communications and Networking",,eng,texts,11170,TK,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11191,"D:\Exam paper\Exam paper 5\id\eprint\11191\1\EMT 2036 - Engineering Mathematics 3.pdf","Trimester 3 2022/2023","2023-10-02","EMT 2036 - Engineering Mathematics 3",,eng,texts,11191,QA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11192,"D:\Exam paper\Exam paper 5\id\eprint\11192\1\ERE 1036 - Basic Electronics.pdf","Trimester 3 2022/2023","2023-10-02","ERE 1036 - Basic Electronics",,eng,texts,11192,TK,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11227,"D:\Exam paper\Exam paper 5\id\eprint\11227\1\ERV 3036 - Machine Vision and Image Processing.pdf","Trimester 3 2022/2023","2023-10-02","ERV 3036 - Machine Vision and Image Processing",,eng,texts,11227,TA,,,,,,,"Faculty of Engineering, FOE",,FOE,,,opensource
mmu-eprint-11174,"D:\Exam paper\Exam paper 5\id\eprint\11174\1\BAC 1074 - Ethics and Governance.pdf","Trimester 3 2022/2023","2023-10-02","BAC 1074 - Ethics and Governance",,eng,texts,11174,BJ,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11173,"D:\Exam paper\Exam paper 5\id\eprint\11173\1\BAC 1644 - Principles of Finance.pdf","Trimester 3 2022/2023","2023-10-02","BAC 1644 - Principles of Finance",,eng,texts,11173,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11172,"D:\Exam paper\Exam paper 5\id\eprint\11172\1\BAC 2624 - Management Accounting 2.pdf","Trimester 3 2022/2023","2023-10-02","BAC 2624 - Management Accounting 2",,eng,texts,11172,HF,HF5601,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11210,"D:\Exam paper\Exam paper 5\id\eprint\11210\1\BAW 4624.pdf","Trimester 3 2022/2023","2023-10-02","BAW 4624 - Tax Compliance",,eng,texts,11210,HJ,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11213,"D:\Exam paper\Exam paper 5\id\eprint\11213\1\BBS 2044.pdf","Trimester 3 2022/2023","2023-10-02","BBS 2044 - Business And Society",,eng,texts,11213,HS,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11212,"D:\Exam paper\Exam paper 5\id\eprint\11212\1\BCT 1024.pdf","Trimester 3 2022/2023","2023-10-02","BCT 1024 - Critical And Application in Management",,eng,texts,11212,BF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11216,"D:\Exam paper\Exam paper 5\id\eprint\11216\1\BDT 1014.pdf",,"2023-10-02","BDT 1014 - Digital Transformation Technologies",,eng,texts,11216,TA,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11203,"D:\Exam paper\Exam paper 5\id\eprint\11203\1\BFE 2074.pdf","Trimester 3 2022/2023","2023-10-02","BFE 2074 - Financial Economics",,eng,texts,11203,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11248,"D:\Exam paper\Exam paper 5\id\eprint\11248\1\BFN 1024 - Principles of Finance.pdf","Trimester 3 2022/2023","2023-10-02","BFN 1024 - Principles of Finance",,eng,texts,11248,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11249,"D:\Exam paper\Exam paper 5\id\eprint\11249\1\BFN 3034 - Behavioral Finance.pdf","Trimester 3 2022/2023","2023-10-02","BFN 3034 - Behavioral Finance",,eng,texts,11249,HG,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11260,"D:\Exam paper\Exam paper 5\id\eprint\11260\1\BFS 1024 - Statistics for Finance.pdf","Trimester 3 2022/2023","2023-10-02","BFS 1024 - Statistics for Finance",,eng,texts,11260,HA,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11162,"D:\Exam paper\Exam paper 5\id\eprint\11162\1\BMK 2024 - Consumer Behaviour.pdf","Trimester 3 2022/2023","2023-10-02","BMK 2024 - Consumer Behaviour",,eng,texts,11162,HF,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11202,"D:\Exam paper\Exam paper 5\id\eprint\11202\1\BTQ 3094.pdf","Trimester 3 2022/2023","2023-10-02","BTQ 3094 - tqm for Managers",,eng,texts,11202,HD,HD61,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11261,"D:\Exam paper\Exam paper 5\id\eprint\11261\1\BUE 3014 - Urban Economics.pdf","Trimester 3 2022/2023","2023-10-02","BUE 3014 - Urban Economics",,eng,texts,11261,HD,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
mmu-eprint-11215,"D:\Exam paper\Exam paper 5\id\eprint\11215\1\FBDT 1014.pdf","Trimester 3 2022/2023","2023-10-02","FBDT 1014 - Digital Transformation Technologies",,eng,texts,11215,TA,,,,,,,"Faculty of Management, FOM",,FOM,,,opensource
